PID,Name,CPU%,Memory (KB),Status
21432,BlueStacksServices.exe,0.5,17731584,Run
37488,OneDrive.exe,0.0,39211008,Run
7644,WebViewHost.exe,0.0,17092608,Run
6124,svchost.exe,0.0,1916928,Run
2140,svchost.exe,0.0,10805248,Run
23604,RuntimeBroker.exe,0.0,1007616,Run
37640,Telegram.exe,0.0,33042432,Run
29888,ms-teamsupdate.exe,0.0,3284992,Run
31320,backgroundTaskHost.exe,0.0,26714112,Run
8716,sihost.exe,0.0,17702912,Run
34784,LineMediaPlayer.exe,0.0,4894720,Run
5296,svchost.exe,0.0,3633152,Run
232,Registry,0.0,48963584,Run
13696,Discord.exe,0.0,1880064,Run
10844,svchost.exe,0.0,4702208,Run
41212,final_project.exe,29.5,172191744,Run
10336,CrossDeviceResume.exe,0.0,5804032,Run
4428,WMIRegistrationService.exe,0.0,0,Run
36740,svchost.exe,0.0,1454080,Run
41096,Signal.exe,1.0,8732672,Run
39568,msedge.exe,0.0,7667712,Run
2000,svchost.exe,0.0,1560576,Run
8556,RuntimeBroker.exe,0.0,2183168,Run
16148,conhost.exe,0.0,528384,Run
4400,svchost.exe,0.0,1277952,Run
15228,FileSyncHelper.exe,0.0,7135232,Run
1312,IntelCpHDCPSvc.exe,0.0,0,Run
3724,svchost.exe,0.0,1208320,Run
21780,Code.exe,2.5,169209856,Run
18848,Discord.exe,0.0,13361152,Run
18940,BlueStacksServices.exe,0.0,1806336,Run
1552,svchost.exe,0.0,17195008,Run
1076,csrss.exe,0.0,3399680,Run
2220,svchost.exe,0.0,3686400,Run
30148,dllhost.exe,0.0,2449408,Run
26700,svchost.exe,0.0,9543680,Run
4112,ipf_uf.exe,0.0,0,Run
2744,svchost.exe,0.0,10829824,Run
22684,svchost.exe,0.0,1429504,Run
41464,Signal.exe,0.0,29814784,Run
2816,svchost.exe,0.0,1269760,Run
38368,msedge.exe,0.0,148324352,Run
18292,msedgewebview2.exe,0.0,3211264,Run
4360,RtkAudUService64.exe,0.0,671744,Run
1136,winlogon.exe,0.0,483328,Run
11144,WacomHost.exe,0.0,0,Run
17016,backgroundTaskHost.exe,0.0,69632,Run
39992,Signal.exe,0.5,20992000,Run
3988,svchost.exe,0.0,10555392,Run
16736,backgroundTaskHost.exe,0.0,20381696,Run
3996,mDNSResponder.exe,0.0,1208320,Run
10208,explorer.exe,2.5,215711744,Run
11988,RuntimeBroker.exe,0.0,16429056,Run
12000,svchost.exe,0.0,4284416,Run
34648,pet.exe,0.0,2424832,Run
2900,svchost.exe,0.0,5550080,Run
38900,AnyDesk.exe,0.0,593920,Run
17040,msedgewebview2.exe,0.0,2174976,Run
9748,TextInputHost.exe,0.5,25255936,Run
3484,svchost.exe,0.0,21852160,Run
1992,svchost.exe,0.0,4976640,Run
23384,Copilot.exe,7.0,67825664,Run
3068,svchost.exe,0.0,6975488,Run
4472,svchost.exe,0.0,4534272,Run
6876,MSI_Center_S_Server_Main.exe,0.0,1339392,Run
21044,Notion.exe,0.0,2482176,Run
14524,SecurityHealthService.exe,0.0,8335360,Run
28232,ONENOTEM.EXE,0.0,675840,Run
0,Idle,0.0,8192,Run
11408,Notion.exe,0.0,74354688,Run
35160,msedgewebview2.exe,0.0,22593536,Run
9012,RuntimeBroker.exe,0.0,2637824,Run
38192,conhost.exe,0.0,303104,Run
28024,LockApp.exe,0.0,69632,Run
3568,svchost.exe,0.0,2039808,Run
41600,PhoneExperienceHost.exe,0.5,153460736,Run
24560,conhost.exe,0.0,778240,Run
732,csrss.exe,0.0,2162688,Run
13316,svchost.exe,0.0,5275648,Run
4,System,0.0,135168,Run
15832,iPodService.exe,0.0,1339392,Run
20448,GoogleDriveFS.exe,1.0,37457920,Run
13020,conhost.exe,0.0,299008,Run
5276,svchost.exe,0.0,2994176,Run
34800,svchost.exe,0.0,2727936,Run
41092,svchost.exe,0.0,10653696,Run
30924,ai.exe,0.0,3981312,Run
27248,ApplicationFrameHost.exe,0.0,5308416,Run
8656,svchost.exe,0.0,5943296,Run
37724,conhost.exe,0.0,1294336,Run
11980,Widgets.exe,0.0,43769856,Run
8884,jucheck.exe,0.0,3375104,Run
17788,CopilotWidgets.exe,0.0,9441280,Run
9540,Notion.exe,0.0,2367488,Run
22452,FoxitPreviewhost.exe,0.0,1765376,Run
2708,svchost.exe,0.0,811008,Run
36040,backgroundTaskHost.exe,0.0,69632,Run
41204,msedge.exe,0.0,1055264768,Run
3784,powershell.exe,0.0,31969280,Run
27584,SystemSettings.exe,0.0,32768,Run
7060,svchost.exe,0.0,14098432,Run
3128,svchost.exe,0.0,2772992,Run
28168,svchost.exe,0.0,835584,Run
2060,svchost.exe,0.0,4603904,Run
11416,RtkAudUService64.exe,0.0,1957888,Run
40644,msedge.exe,0.0,4550656,Run
32624,msedge.exe,0.0,94232576,Run
33868,svchost.exe,0.0,946176,Run
7708,svchost.exe,0.0,10891264,Run
7520,MSI_Center_System.exe,0.0,757760,Run
24220,msedge.exe,0.0,3719168,Run
26548,powershell.exe,0.0,2904064,Run
18856,Discord.exe,0.0,12627968,Run
38952,SearchIndexer.exe,0.0,25108480,Run
8624,crashpad_handler.exe,0.0,1478656,Run
12804,vctip.exe,0.0,13897728,Run
40976,Code.exe,15.5,322433024,Run
30388,conhost.exe,0.0,778240,Run
3948,msedgewebview2.exe,0.0,1888256,Run
14660,msedgewebview2.exe,0.0,5443584,Run
10284,svchost.exe,0.0,9281536,Run
3980,svchost.exe,0.0,35647488,Run
6272,ms-teams.exe,0.0,28413952,Run
14556,msedgewebview2.exe,0.0,987136,Run
35864,msedge.exe,0.0,15552512,Run
2844,svchost.exe,0.0,1421312,Run
1560,taskhostw.exe,0.0,9019392,Run
9880,ipf_helper.exe,0.0,1994752,Run
2468,svchost.exe,0.0,4411392,Run
8392,Notion.exe,0.5,143237120,Run
1252,svchost.exe,0.0,1261568,Run
23820,acrotray.exe,0.0,1224704,Run
20324,dllhost.exe,0.0,921600,Run
24252,sourcery.exe,0.0,15872000,Run
14276,msedgewebview2.exe,0.0,9097216,Run
34448,Code.exe,0.0,124592128,Run
10028,Code.exe,0.0,27590656,Run
1416,fontdrvhost.exe,0.0,0,Run
12276,iTunesHelper.exe,0.0,1536000,Run
7192,msedge.exe,0.0,31354880,Run
1484,WUDFHost.exe,0.0,704512,Run
19720,rust-analyzer-proc-macro-srv.exe,0.0,5173248,Run
6744,svchost.exe,0.0,13553664,Run
28196,msedge.exe,0.0,3260416,Run
39584,Code.exe,0.0,101388288,Run
188,Secure System,0.0,64720896,Run
18620,Notion.exe,0.5,95752192,Run
3184,svchost.exe,0.0,2097152,Run
3000,Memory Compression,0.0,1421910016,Run
1596,svchost.exe,0.0,3854336,Run
26104,UserOOBEBroker.exe,0.0,741376,Run
20556,BlueStacksServices.exe,0.0,6422528,Run
7120,svchost.exe,0.0,1204224,Run
30968,RuntimeBroker.exe,0.0,25268224,Run
10836,MSI_Center_System.exe,0.0,2510848,Run
1408,fontdrvhost.exe,0.0,8388608,Run
7508,ShellExperienceHost.exe,0.0,69632,Run
30588,svchost.exe,0.0,1568768,Run
5784,MSI_Center_S_Server.exe,0.0,4558848,Run
13084,cargo.exe,0.0,23248896,Run
12444,msedge.exe,0.0,66854912,Run
35324,LineCall.exe,0.5,4784128,Run
11852,StartMenuExperienceHost.exe,0.0,92688384,Run
1436,Wacom_Tablet.exe,0.0,5398528,Run
4384,svchost.exe,0.0,233472,Run
35564,ShellHost.exe,0.0,6516736,Run
7576,AggregatorHost.exe,0.0,2715648,Run
2128,svchost.exe,0.0,577536,Run
9452,MSI_S_LAN_Manager_Tool.exe,0.0,15728640,Run
28724,msedgewebview2.exe,0.0,1249280,Run
14764,Viber.exe,0.0,29913088,Run
5372,svchost.exe,0.0,1425408,Run
17496,WhatsApp.exe,0.0,884736,Run
29648,RuntimeBroker.exe,0.0,2527232,Run
4132,svchost.exe,0.0,602112,Run
7492,FoxitProxyServer_PH.exe,0.0,3289088,Run
38500,msedge.exe,0.0,36524032,Run
30612,msedgewebview2.exe,0.0,5320704,Run
22620,RuntimeBroker.exe,0.0,1622016,Run
1316,svchost.exe,0.0,970752,Run
17488,WidgetService.exe,0.0,3080192,Run
9888,TabTip.exe,0.0,13844480,Run
12452,rust-analyzer.exe,0.0,384528384,Run
26648,Code.exe,0.0,12779520,Run
4000,FoxitPDFEditorUpdateService.exe,0.0,839680,Run
4376,UltraViewer_Service.exe,0.0,1130496,Run
1228,svchost.exe,0.0,10260480,Run
14076,svchost.exe,0.0,1650688,Run
2832,svchost.exe,0.0,6225920,Run
32956,LINE.exe,0.0,12165120,Run
11104,Wacom_UpdateUtil.exe,0.0,1052672,Run
17520,Notion.exe,0.0,6615040,Run
36664,backgroundTaskHost.exe,0.0,69632,Run
39408,msedgewebview2.exe,0.0,9166848,Run
32544,msedgewebview2.exe,0.0,31490048,Run
17828,msedgewebview2.exe,0.0,7311360,Run
6364,WmiPrvSE.exe,0.0,7393280,Run
3828,svchost.exe,0.0,15581184,Run
41888,Code.exe,2.0,64086016,Run
16092,RuntimeBroker.exe,0.0,1581056,Run
18732,Discord.exe,0.0,1478656,Run
6592,svchost.exe,0.0,1462272,Run
41824,Code.exe,0.0,2260992,Run
3112,svchost.exe,0.0,1404928,Run
27164,msedge.exe,0.0,3129344,Run
1768,svchost.exe,0.0,966656,Run
3960,AppleMobileDeviceService.exe,0.0,770048,Run
10060,jusched.exe,0.0,598016,Run
28732,Code.exe,0.0,23887872,Run
36908,msedgewebview2.exe,0.0,8314880,Run
31164,OfficeClickToRun.exe,0.0,9728000,Run
8072,MSI_Center_S_Engine.exe,0.0,18415616,Run
1224,LsaIso.exe,0.0,0,Run
1212,services.exe,0.0,6467584,Run
